Attributes,close,close,close,close,close,close,high,high,high,high,high,high,low,low,low,low,low,low,open,open,open,open,open,open,volume,volume,volume,volume,volume,volume
Symbols,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax
2009-01-07,1997.91,264.58,3346.09,701.41,5761.69,4937.47,1998.86,269.44,3403.33,704.49,5806.0,5010.97,1974.82,262.88,3316.6,693.76,5731.7,4914.22,1991.29,268.46,3378.99,693.76,5778.02,5008.62,30743856.0,,121715137.0,157104816.0,56105464.0,137572032.0
2009-01-08,1976.57,264.69,3324.33,695.95,5751.07,4879.91,1982.79,266.07,3346.28,701.41,5764.42,4917.62,1950.39,260.27,3269.8,684.58,5679.12,4820.08,1975.29,263.04,3308.64,701.41,5697.53,4897.16,20600560.0,,100385919.0,140723936.0,53946004.0,156333888.0
2009-01-09,1973.95,266.3,3299.5,685.83,5697.24,4783.89,1996.48,269.74,3368.3,695.95,5753.66,4932.66,1959.68,263.36,3271.03,683.41,5648.01,4743.97,1979.56,265.02,3337.84,695.95,5753.55,4891.58,18192772.0,,91282156.0,126054104.0,65515112.0,162262480.0
2009-01-12,1970.54,261.74,3246.12,667.97,5591.79,4719.62,1993.13,266.77,3305.46,685.83,5666.82,4791.96,1966.01,260.6,3236.47,666.47,5588.18,4708.5,1973.5,265.0,3287.58,685.83,5657.1,4765.38,31558904.0,,107872317.0,112056368.0,49218000.0,116129176.0
2009-01-13,1963.02,260.47,3197.89,656.62,5534.33,4636.94,1975.53,261.99,3234.52,667.97,5568.36,4704.51,1951.09,256.23,3154.29,649.05,5452.02,4596.49,1973.31,260.9,3232.25,667.97,5568.36,4704.51,44085020.0,,139870581.0,160421152.0,70728056.0,146029568.0
2009-01-14,1890.27,247.32,3052.0,622.59,5378.81,4422.35,1981.8,262.99,3219.37,662.14,5586.24,4670.84,1880.3,245.26,3018.06,619.7,5329.37,4379.88,1981.72,261.31,3216.88,656.62,5584.02,4661.84,68522072.0,,156705132.0,204711872.0,80995200.0,204723696.0
2009-01-15,1856.11,243.6,2995.88,620.32,5382.44,4336.73,1892.83,248.9,3071.55,633.88,5448.01,4451.32,1839.58,241.59,2962.56,612.15,5330.1,4295.76,1885.58,247.08,3056.95,622.59,5416.1,4434.22,57434904.0,,156546659.0,191447328.0,81076488.0,184321248.0
2009-01-16,1851.65,248.93,3016.75,628.69,5435.54,4366.28,1898.59,252.45,3087.92,636.75,5511.16,4474.86,1851.65,248.13,3009.5,620.32,5429.28,4357.82,1883.9,251.86,3056.95,620.32,5497.42,4395.79,45796532.0,,146522059.0,137790320.0,78944264.0,177919520.0
2009-01-19,1839.94,245.29,2989.69,621.8,5381.37,4316.14,1899.33,255.25,3083.39,638.57,5517.35,4452.57,1821.68,241.91,2949.64,614.33,5318.73,4249.91,1883.96,248.62,3069.92,628.69,5496.68,4409.88,38968556.0,,107935024.0,151377760.0,72451680.0,144559472.0
2009-01-20,1802.74,240.11,2925.28,597.76,5321.0,4239.85,1851.24,246.69,3031.55,627.38,5430.39,4382.11,1796.05,238.97,2912.53,595.19,5313.99,4222.76,1847.62,244.34,2984.81,621.8,5413.28,4297.42,38964708.0,,126348249.0,198244512.0,80150808.0,163113648.0
2009-01-21,1794.97,237.71,2905.57,615.11,5304.17,4261.15,1806.36,240.5,2947.65,620.14,5376.52,4313.69,1750.03,232.91,2841.87,591.62,5248.87,4140.26,1782.48,237.27,2885.09,597.76,5291.66,4208.19,63274684.0,,194856061.0,288031136.0,101952456.0,175217456.0
2009-01-22,1805.38,235.46,2869.62,608.73,5329.44,4219.42,1853.57,243.21,2981.1,627.88,5459.59,4368.47,1802.04,234.01,2864.74,606.39,5307.5,4197.02,1837.67,243.04,2964.66,615.11,5402.73,4313.36,43369288.0,,143150614.0,189449952.0,89958984.0,140286944.0
2009-01-23,1834.19,234.14,2849.14,604.12,5306.91,4178.94,1840.32,235.51,2885.62,610.37,5351.9,4222.01,1794.97,227.53,2770.09,591.65,5194.61,4067.43,1813.95,234.23,2869.23,608.73,5326.56,4204.0,38655852.0,,146050931.0,173789312.0,91703040.0,153362320.0
2009-01-26,1884.03,247.88,2955.37,623.25,5417.07,4326.87,1892.11,248.42,2968.11,625.02,5457.0,4371.52,1839.2,234.0,2834.54,600.38,5299.12,4145.12,1846.32,234.69,2834.54,604.12,5299.64,4165.71,45022888.0,,143652143.0,169907296.0,79639024.0,151593024.0
2009-01-27,1870.39,248.59,2954.53,624.05,5348.91,4323.42,1892.64,248.77,2970.95,624.56,5442.38,4360.79,1853.9,242.79,2907.64,610.81,5291.15,4264.97,1892.64,248.75,2965.37,623.25,5440.83,4322.99,45707860.0,,133969189.0,179327952.0,61925808.0,128339904.0
2009-01-28,1925.48,257.16,3076.01,639.29,5417.93,4518.72,1925.48,258.37,3085.69,643.23,5454.25,4533.7,1884.18,252.69,2989.68,624.05,5338.59,4347.78,1894.35,252.69,2992.21,624.05,5352.27,4347.78,69320080.0,,172565909.0,193605792.0,111863104.0,172048640.0
2009-01-29,1893.94,252.35,3009.75,616.1,5272.9,4428.11,1928.9,256.01,3064.14,639.29,5369.44,4501.44,1888.91,249.76,2986.01,614.54,5241.82,4393.98,1928.9,255.41,3064.14,639.29,5364.62,4495.74,43159200.0,,156197050.0,165527360.0,88198776.0,142050208.0
